Exported from Sap Flow Tool (1.5.0) on 19/05/2019 at 21:01
date time,DOY,HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),HRM Sap Flow Meter (SFM1) (SFM1G40O),
dd/MM/yyyy hh:mm:ss.zzz,DOY,0_OuterDownstream(DegC),1_OuterUpstream(DegC),2_InnerDownstream(DegC),3_InnerUpstream(DegC),
30/10/2017 19:32:26.000,303,18.49229813,18.55856705,18.55542755,18.27238655,
30/10/2017 19:32:27.000,303,18.48382378,18.54969788,18.5478611,18.26726532,
30/10/2017 19:32:28.000,303,18.47525024,18.54220009,18.54050255,18.26201057,
30/10/2017 19:32:29.000,303,18.46820068,18.53351212,18.53436089,18.25641441,
30/10/2017 20:00:08.000,303,16.99652672,17.22382355,17.48713303,17.51226807,
30/10/2017 20:00:09.000,303,16.99669838,17.22364235,17.48716545,17.51222038,
30/10/2017 20:00:10.000,303,16.9966774,17.22373199,17.4870739,17.51218796,
30/10/2017 20:00:11.000,303,16.99634361,17.22358322,17.48717499,17.51225662,
30/10/2017 20:00:12.000,303,16.99641418,17.22355652,17.48705292,17.512146,
30/10/2017 20:00:13.000,303,16.99653816,17.22377586,17.48692513,17.51200676,
30/10/2017 20:00:14.000,303,16.99657059,17.22377586,17.48698425,17.5118885,
30/10/2017 20:00:15.000,303,16.99647903,17.22365189,17.48694611,17.51185608,
30/10/2017 20:00:16.000,303,16.99647903,17.22383308,17.486866,17.51195717,
30/10/2017 20:00:17.000,303,16.99647903,17.22379112,17.48700523,17.51198006,
30/10/2017 20:00:18.000,303,16.99619484,17.22373199,17.48693657,17.5118885,
30/10/2017 20:00:19.000,303,16.99589348,17.22350311,17.48679733,17.51194763,
30/10/2017 20:00:20.000,303,16.99565125,17.22328377,17.48683357,17.51172829,
30/10/2017 20:00:21.000,303,16.99526978,17.22288322,17.48666382,17.51166916,
30/10/2017 20:00:22.000,303,16.99489975,17.22262764,17.4864769,17.51154709,
30/10/2017 20:00:23.000,303,16.99455643,17.2225647,17.48634338,17.51132774,
30/10/2017 20:00:24.000,303,16.99447632,17.22246742,17.48627472,17.51125717,
30/10/2017 20:00:25.000,303,16.99473953,17.22251511,17.48615646,17.51136017,
30/10/2017 20:00:26.000,303,16.9948082,17.22245789,17.48575592,17.51122665,
30/10/2017 20:00:27.000,303,16.99513054,17.22242546,17.48575592,17.51118851,
30/10/2017 20:00:28.000,303,16.99575424,17.22235489,17.48581505,17.51104927,
30/10/2017 20:00:29.000,303,16.99611282,17.22233391,17.48573494,17.51101685,
30/10/2017 20:00:30.000,303,16.99621582,17.22237778,17.48544693,17.51096916,
30/10/2017 20:00:31.000,303,16.99613571,17.22224426,17.48534584,17.51082039,
30/10/2017 20:00:32.000,303,16.99591446,17.22202492,17.48511505,17.51052666,
30/10/2017 20:00:33.000,303,16.99483109,17.22202492,17.4851532,17.51038742,
30/10/2017 20:00:34.000,303,16.99422455,17.22171593,17.48483276,17.51045609,
30/10/2017 20:00:35.000,303,16.9938755,17.22136879,17.4847641,17.51021576,
30/10/2017 20:00:36.000,303,16.99313927,17.22093582,17.48498726,17.51017952,
30/10/2017 20:00:37.000,303,16.99283981,17.22064781,17.48496628,17.50993919,
30/10/2017 20:00:38.000,303,16.99290848,17.22039795,17.48487473,17.50997543,
30/10/2017 20:00:39.000,303,16.99236679,17.21892929,17.48343468,17.50898743,
30/10/2017 20:00:40.000,303,16.99171257,17.21751022,17.48160934,17.50780678,
30/10/2017 20:00:41.000,303,16.99180222,17.21751976,17.48135948,17.50771523,
30/10/2017 20:00:42.000,303,16.99160385,17.21777725,17.48133659,17.50766754,
30/10/2017 20:00:43.000,303,16.99122238,17.21968651,17.48287964,17.50891685,
30/10/2017 20:00:44.000,303,16.9920063,17.22404289,17.48978996,17.51660156,
30/10/2017 20:00:45.000,303,16.99734306,17.23203659,17.5100193,17.53752518,
30/10/2017 20:00:46.000,303,17.00747681,17.24189949,17.54737282,17.56915092,
30/10/2017 20:00:47.000,303,17.02276611,17.2623806,17.59841156,17.62695885,
30/10/2017 20:00:48.000,303,17.05118942,17.2962532,17.6821022,17.69624519,
30/10/2017 20:00:49.000,303,17.09308815,17.33871841,17.77361488,17.79775429,
30/10/2017 20:00:50.000,303,17.13973236,17.4031868,17.89551926,17.91309738,
30/10/2017 20:00:51.000,303,17.20590782,17.48143959,18.0269146,18.01665688,
30/10/2017 20:00:52.000,303,17.28206253,17.55770683,18.14191628,18.13727188,
30/10/2017 20:00:53.000,303,17.3535862,17.65332222,18.27209091,18.25166321,
30/10/2017 20:00:54.000,303,17.44092751,17.75284576,18.39320374,18.34148979,
30/10/2017 20:00:55.000,303,17.52989006,17.8385601,18.48921204,18.43531418,
30/10/2017 20:00:56.000,303,17.60642052,17.9378376,18.59072876,18.51826668,
30/10/2017 20:00:57.000,303,17.69412422,18.02096939,18.6804142,18.57987213,
30/10/2017 20:00:58.000,303,17.77884483,18.11292267,18.74903679,18.64113617,
30/10/2017 20:00:59.000,303,17.84789085,18.19869041,18.81833649,18.69213104,
30/10/2017 20:01:00.000,303,17.92453194,18.27784348,18.87715912,18.72855377,
30/10/2017 20:01:01.000,303,17.99623299,18.34119034,18.92089081,18.76401901,
30/10/2017 20:01:02.000,303,18.05452538,18.40952873,18.96570778,18.79271507,
30/10/2017 20:01:03.000,303,18.11762047,18.47144127,19.00294113,18.81206703,
30/10/2017 20:01:04.000,303,18.17534447,18.51939964,19.02933502,18.82941628,
30/10/2017 20:01:05.000,303,18.22170639,18.56952286,19.0547905,18.84227943,
30/10/2017 20:01:06.000,303,18.27224731,18.60845566,19.07523727,18.85022926,
30/10/2017 20:01:07.000,303,18.31281853,18.64992523,19.08912277,18.85599709,
30/10/2017 20:01:08.000,303,18.35668564,18.68697166,19.10130119,18.85850716,
30/10/2017 20:01:09.000,303,18.3965683,18.71502686,19.10997963,18.85868835,
30/10/2017 20:01:10.000,303,18.4274292,18.74455643,19.11544609,18.85652542,
30/10/2017 20:01:11.000,303,18.45980263,18.77080154,19.11895752,18.85232925,
30/10/2017 20:01:12.000,303,18.48870468,18.79073524,19.12036324,18.84793854,
30/10/2017 20:01:13.000,303,18.51525116,18.81135178,19.11899948,18.84100342,
30/10/2017 20:01:14.000,303,18.53546715,18.82909584,19.11717224,18.83285522,
30/10/2017 20:01:15.000,303,18.55637169,18.84212875,19.1131134,18.82522392,
30/10/2017 20:01:16.000,303,18.57444763,18.85511589,19.10870171,18.81539917,
30/10/2017 20:01:17.000,303,18.58845329,18.86601448,19.10247803,18.80496025,
30/10/2017 20:01:18.000,303,18.60358047,18.87490463,19.09550476,18.79546547,
30/10/2017 20:01:19.000,303,18.61621475,18.88021851,19.0886631,18.78395844,
30/10/2017 20:01:20.000,303,18.62567139,18.88530159,19.07958603,18.77144241,
